[2026-05-26T03:01:13.814Z] GET https://diary-twitter.vercel.app/ → pending (?ms, ?B)
[2026-05-26T03:01:16.590Z] GET https://diary-twitter.vercel.app/_next/static/css/2a4ef0974f61823c.css → 200 (413ms, ?B)
[2026-05-26T03:01:16.590Z] GET https://diary-twitter.vercel.app/_next/static/css/eb22539c9290725b.css → pending (?ms, ?B)
[2026-05-26T03:01:16.591Z] GET https://diary-twitter.vercel.app/_next/static/chunks/webpack-fa9a156f82a16ac1.js → pending (?ms, ?B)
[2026-05-26T03:01:16.591Z] GET https://diary-twitter.vercel.app/_next/static/chunks/fd9d1056-a9394cb017d46d98.js → pending (?ms, ?B)
[2026-05-26T03:01:16.591Z] GET https://diary-twitter.vercel.app/_next/static/chunks/117-440a2084f7673f42.js → pending (?ms, ?B)
[2026-05-26T03:01:16.591Z] GET https://diary-twitter.vercel.app/_next/static/chunks/main-app-2dcde4753ea0d175.js → pending (?ms, ?B)
[2026-05-26T03:01:16.593Z] GET https://diary-twitter.vercel.app/_next/static/chunks/44530001-74f6101d35428d38.js → pending (?ms, ?B)
[2026-05-26T03:01:16.593Z] GET https://diary-twitter.vercel.app/_next/static/chunks/306-db7a34fc3812330f.js → pending (?ms, ?B)
[2026-05-26T03:01:16.593Z] GET https://diary-twitter.vercel.app/_next/static/chunks/216-11875029839295ec.js → pending (?ms, ?B)
[2026-05-26T03:01:16.593Z] GET https://diary-twitter.vercel.app/_next/static/chunks/985-33ed9d7d10fb8a43.js → 200 (410ms, 11893B)
[2026-05-26T03:01:16.593Z] GET https://diary-twitter.vercel.app/_next/static/chunks/app/page-36b01ba8c2093ec8.js → pending (?ms, ?B)
[2026-05-26T03:01:16.593Z] GET https://diary-twitter.vercel.app/_next/static/chunks/619-5f5be87021d02bea.js → pending (?ms, ?B)
[2026-05-26T03:01:16.594Z] GET https://diary-twitter.vercel.app/_next/static/chunks/app/layout-16ba756546bef71d.js → pending (?ms, ?B)
[2026-05-26T03:01:18.379Z] GET https://diary-twitter.vercel.app/_next/static/media/868edd7da6924777-s.woff2 → pending (?ms, ?B)
[2026-05-26T03:01:18.379Z] GET https://diary-twitter.vercel.app/_next/static/media/edef1a271f97a8ec-s.woff2 → pending (?ms, ?B)
[2026-05-26T03:01:18.379Z] GET https://diary-twitter.vercel.app/_next/static/media/0daf8b93acb78d32-s.woff2 → pending (?ms, ?B)
[2026-05-26T03:01:18.379Z] GET https://diary-twitter.vercel.app/_next/static/media/b53c1142b9136fe1-s.woff2 → pending (?ms, ?B)
[2026-05-26T03:01:18.379Z] GET https://diary-twitter.vercel.app/_next/static/media/feee9e12ea9450c9-s.woff2 → pending (?ms, ?B)
[2026-05-26T03:01:18.379Z] GET https://diary-twitter.vercel.app/_next/static/media/2b261e659b551a46-s.woff2 → pending (?ms, ?B)
[2026-05-26T03:01:18.380Z] GET https://diary-twitter.vercel.app/_next/static/media/33718844fb0798ef-s.woff2 → pending (?ms, ?B)
[2026-05-26T03:01:18.380Z] GET https://diary-twitter.vercel.app/_next/static/media/7637af4f10f4e9d5-s.woff2 → pending (?ms, ?B)
[2026-05-26T03:01:18.380Z] GET https://diary-twitter.vercel.app/_next/static/media/b911ba6d74ed3f89-s.woff2 → pending (?ms, ?B)
[2026-05-26T03:01:18.380Z] GET https://diary-twitter.vercel.app/_next/static/media/be2afef9721bdbc2-s.woff2 → pending (?ms, ?B)
